company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date,phone_valid,phone_e164,phone_national,phone_line_type,phone_region,phone_area_code,phone_flags,phone_validation_status
"HARDIN COUNTY PLUMBING SERVICES, LLC.",(409) 246-4740,"P. O. BOX 1986, KOUNTZE, TX 77625",P. O. BOX 1986,KOUNTZE,TX,77625,HARDIN,13512,Current,11/30/2026,VERNON DEAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14092464740,(409) 246-4740,landline_or_mobile,"Kountze, TX",409,po_box_address,valid_with_flags
MARBACH PLUMBING COMPANY INC,(361) 729-9155,"411 W. MARKET ST., ROCKPORT, TX 78382",411 W. MARKET ST.,ROCKPORT,TX,78382,ARANSAS,17600,Current,08/31/2026,DENNIS MARBACH,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13617299155,(361) 729-9155,landline_or_mobile,"Rockport, TX",361,,valid
LARSON PLUMBING & UTILITY CO,(381) 887-6234,"P.O. BOX 158, ODEM, TX 78370",P.O. BOX 158,ODEM,TX,78370,SAN PATRICIO,18518,Current,05/31/2027,RANDY LARSON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,False,,,,,381,possible_not_valid;non_tx_area_code;invalid_area_code_381;po_box_address,possible_not_valid
BARKER PLUMBING,(254) 582-9879,"P. O. BOX 324, HILLSBORO, TX 76645",P. O. BOX 324,HILLSBORO,TX,76645,HILL,10331,Current,06/30/2026,LARRY BARKER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12545829879,(254) 582-9879,landline_or_mobile,"Hillsboro, TX",254,po_box_address,valid_with_flags
ROBBIE ROB'S PLUMBING,(214) 770-3860,"353 OLD MILL LN, POINT, TX 75472",353 OLD MILL LN,POINT,TX,75472,RAINS,39544,Current,05/31/2027,ROBERT TREVINO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12147703860,(214) 770-3860,landline_or_mobile,Texas,214,,valid
SHANNON WALLACE PLUMBING LLC,(936) 615-5811,"3871 FM 1275, NACOGDOCHES, TX 75961",3871 FM 1275,NACOGDOCHES,TX,75961,NACOGDOCHES,36755,Current,07/31/2026,SHANNON WALLACE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19366155811,(936) 615-5811,landline_or_mobile,Texas,936,,valid
ACE PLUMBINGADRIANA & MARTIN GUTIERREZ ENTERPRISES INC,(512) 446-5152,"1303  BRAZOS AVE, ROCKDALE, TX 76567",1303  BRAZOS AVE,ROCKDALE,TX,76567,MILAM,36525,Current,08/31/2026,MARTIN GUTIERREZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15124465152,(512) 446-5152,landline_or_mobile,"Rockdale, TX",512,,valid
TEXAS HILL COUNTRY PLUMBING LLC,(830) 444-5195,"3610 ENGLISH CROSSING ROAD, BANDERA, TX 78003",3610 ENGLISH CROSSING ROAD,BANDERA,TX,78003,BANDERA,37623,Current,02/28/2027,JAMES MCGILBERY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18304445195,(830) 444-5195,landline_or_mobile,Texas,830,,valid
PRO MECHANICAL OF TEXAS/DBA-SHEETZ PRO MECHANICAL,(254) 965-3000,"300 WEST LINGLEVILLE RD,SUITE 102, STEPHENVILLE, TX 76401","300 WEST LINGLEVILLE RD,SUITE 102",STEPHENVILLE,TX,76401,ERATH,15702,Current,09/30/2026,STEVEN SHEETZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12549653000,(254) 965-3000,landline_or_mobile,"Stephenville, TX",254,,valid
DAN'S ALL AMERICAN PLUMBING LLC,(409) 423-5773,"P.O. BOX 517, KIRBYVILLE, TX 75956",P.O. BOX 517,KIRBYVILLE,TX,75956,JASPER,17203,Current,08/31/2026,DANNY PETERS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14094235773,(409) 423-5773,landline_or_mobile,"Kirbyville, TX",409,po_box_address,valid_with_flags
SON-SHINE PLUMBING,(361) 827-8042,"P O BOX 281, LOUISE, TX 77455",P O BOX 281,LOUISE,TX,77455,WHARTON,14376,Current,06/30/2026,ROBERT GARCIA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13618278042,(361) 827-8042,landline_or_mobile,Texas,361,po_box_address,valid_with_flags
COWBOY PLUMBING,(903) 261-6762,"514 S FLOREY AVE, MT PLEASANT, TX 75455",514 S FLOREY AVE,MT PLEASANT,TX,75455,TITUS,10530,Current,07/31/2026,JUAN GALINDO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19032616762,(903) 261-6762,landline_or_mobile,Texas,903,,valid
CLOPTON'S LAND HOME IMPROVEMENTS LLC,(979) 716-4646,"PO BOX 612 P.O. BOX 612, LEXINGTON, TX 78947",PO BOX 612 P.O. BOX 612,LEXINGTON,TX,78947,LEE,37823,Current,04/30/2027,AARON CLOPTON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19797164646,(979) 716-4646,landline_or_mobile,Texas,979,po_box_address,valid_with_flags
ETZLER PLUMBING & ELECTRIC INC,(361) 798-5086,"519 CR 166, HALLETTSVILLE, TX 77964",519 CR 166,HALLETTSVILLE,TX,77964,LAVACA,38254,Current,08/31/2026,WILBERT ETZLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13617985086,(361) 798-5086,landline_or_mobile,"Hallettsville, TX",361,,valid
TOBYAH ENTERPRISES INC DBA T&T PLUMBING,(325) 721-4723,"10132 PR 2589, CLYDE, TX 79510",10132 PR 2589,CLYDE,TX,79510,CALLAHAN,37796,Current,05/31/2027,TOVIA GRYNEWICZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13257214723,(325) 721-4723,landline_or_mobile,Texas,325,,valid
MANUEL ESTRADA PLUMBING,(830) 968-0493,"2327 EDNA DR, EAGLE PASS, TX 78852",2327 EDNA DR,EAGLE PASS,TX,78852,MAVERICK,7962,Current,06/30/2026,MANUEL ESTRADA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18309680493,(830) 968-0493,landline_or_mobile,Texas,830,,valid
HORNE PIPE & SUPPLY INC DBA CHAMBERS PLUMBING,(325) 642-7486,"3005 AVENUE D, BROWNWOOD, TX 76801",3005 AVENUE D,BROWNWOOD,TX,76801,BROWN,20061,Current,04/30/2027,KEVIN CHAMBERS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13256427486,(325) 642-7486,landline_or_mobile,Texas,325,,valid
VICTOR'S PLUMBING LLC,(806) 346-4407,"229  SOUTH MAIN, HEREFORD, TX 79045",229  SOUTH MAIN,HEREFORD,TX,79045,DEAF SMITH,36988,Current,08/31/2026,ROBERT ESTRADA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18063464407,(806) 346-4407,landline_or_mobile,Texas,806,,valid
T'S PLUMBING CO,(432) 386-3291,"P O BOX 1415, ALPINE, TX 79830",P O BOX 1415,ALPINE,TX,79830,BREWSTER,39673,Current,02/28/2027,TREVER WARREN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14323863291,(432) 386-3291,landline_or_mobile,Texas,432,po_box_address,valid_with_flags
"ED DAVILA PLUMBING, LLC",(979) 725-6298,"1035 SEDAN ROAD, WEIMAR, TX 78962",1035 SEDAN ROAD,WEIMAR,TX,78962,COLORADO,17070,Current,10/31/2026,EDWARD DAVILA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19797256298,(979) 725-6298,landline_or_mobile,"Weimar, TX",979,,valid
WHITMORE'S PLUMBING SERVICE INC,(432) 263-2302,"408 EAST 11TH STREET, BIG SPRING, TX 79720",408 EAST 11TH STREET,BIG SPRING,TX,79720,HOWARD,18910,Current,10/31/2026,DERRICK WHITMORE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14322632302,(432) 263-2302,landline_or_mobile,"Big Spring, TX",432,,valid
1ST CLASSIC PLUMBING LLC,(817) 578-5328,"258 COUNTY RD 1140, KOPPERL, TX 76652",258 COUNTY RD 1140,KOPPERL,TX,76652,BOSQUE,36905,Current,05/31/2027,JEFF MITCHELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18175785328,(817) 578-5328,landline_or_mobile,"Granbury, TX",817,,valid
COVE PLUMBING INC,(254) 547-4263,"2416 E HIGHWAY 190, COPPERAS COVE, TX 76522",2416 E HIGHWAY 190,COPPERAS COVE,TX,76522,CORYELL,37682,Current,02/28/2027,THAD MAPLES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12545474263,(254) 547-4263,landline_or_mobile,"Copperas Cove, TX",254,,valid
M&M PLUMBING,(830) 734-6520,"P. O. BOX 420852, DEL RIO, TX 78842",P. O. BOX 420852,DEL RIO,TX,78842,VAL VERDE,15158,Current,09/30/2026,MARTIN MATA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18307346520,(830) 734-6520,landline_or_mobile,Texas,830,po_box_address,valid_with_flags
NJM PLUMBING CO LLC,(903) 729-2323,"924  N PERRY ST, PALESTINE, TX 75801",924  N PERRY ST,PALESTINE,TX,75801,ANDERSON,36728,Current,11/30/2026,MARK WISE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19037292323,(903) 729-2323,landline_or_mobile,"Palestine, TX",903,,valid
RISINGER PLUMBING,(806) 523-2222,"3750 W FM 597, LEVELAND, TX 79336",3750 W FM 597,LEVELAND,TX,79336,HOCKLEY,16066,Current,11/30/2026,MARK RISINGER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18065232222,(806) 523-2222,landline_or_mobile,Texas,806,,valid
NATIVI CONTRACTORS DIRECT CONNECT,(817) 304-2722,"308 COVE RD, GORDON, TX 76453",308 COVE RD,GORDON,TX,76453,PALO PINTO,16185,Current,07/31/2027,LARRY TURNER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18173042722,(817) 304-2722,landline_or_mobile,Texas,817,,valid
GRAVES PLUMBING,(903) 237-9252,"PO BOX 170, CARTHAGE, TX 75633",PO BOX 170,CARTHAGE,TX,75633,PANOLA,18306,Current,07/31/2026,ULYSSES GRAVES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19032379252,(903) 237-9252,landline_or_mobile,"Longview, TX",903,po_box_address,valid_with_flags
BALLEW PLUMBING COMPANY,(903) 683-4455,"129 FM 1248, RUSK, TX 75785",129 FM 1248,RUSK,TX,75785,CHEROKEE,15327,Current,11/30/2026,EDWIN BALLEW,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19036834455,(903) 683-4455,landline_or_mobile,"Rusk, TX",903,,valid
BOB JAY'S OF PERRYTON INC,(806) 435-5080,"PO BOX 748, PERRYTON, TX 79070-0748",PO BOX 748,PERRYTON,TX,79070-0748,OCHILTREE,41238,Current,03/31/2027,JEFFERY HINSHAW,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18064355080,(806) 435-5080,landline_or_mobile,"Perryton, TX",806,po_box_address,valid_with_flags
JNJ PLUMBING LLC,(281) 677-1707,"207 DANCING FLAME, LIVINGSTON, TX 77351",207 DANCING FLAME,LIVINGSTON,TX,77351,POLK,40615,Current,10/31/2026,JIMMY WALLECK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12816771707,(281) 677-1707,landline_or_mobile,Texas,281,,valid
BRUSH COUNTRY PLUMBING LLC,(361) 232-6343,"P O BOX 2635, ORANGE GROVE, TX 78372",P O BOX 2635,ORANGE GROVE,TX,78372,JIM WELLS,44584,Current,05/31/2027,JERRY PEREA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13612326343,(361) 232-6343,landline_or_mobile,Texas,361,po_box_address,valid_with_flags
BARNWELL INDUSTRIES,(903) 796-4867,"P. O. BOX 375, QUEEN CITY, TX 75572",P. O. BOX 375,QUEEN CITY,TX,75572,CASS,15585,Current,06/30/2027,HOWARD BARNWELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19037964867,(903) 796-4867,landline_or_mobile,"Atlanta, TX",903,po_box_address,valid_with_flags
CAPROCK PLUMBING HEATING & AIR CONDITIONING INC,(806) 293-7302,"428 ASH ST., PLAINVIEW, TX 79072",428 ASH ST.,PLAINVIEW,TX,79072,HALE,18233,Current,10/31/2026,LARRY RANKIN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18062937302,(806) 293-7302,landline_or_mobile,"Plainview, TX",806,,valid
STREETY PLUMBING,(903) 407-2013,"11012 HWY 154, MARSHALL, TX 75670",11012 HWY 154,MARSHALL,TX,75670,HARRISON,38762,Current,02/28/2027,CHRIS SLOCUM,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19034072013,(903) 407-2013,landline_or_mobile,Texas,903,,valid
HARPS PLUMBING,(281) 342-8972,"P.O. BOX 301, MATAGORDA, TX 77457",P.O. BOX 301,MATAGORDA,TX,77457,MATAGORDA,12812,Current,10/31/2026,GERALD HARPER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12813428972,(281) 342-8972,landline_or_mobile,Texas,281,po_box_address,valid_with_flags
SAMPSON PLUMBING,(409) 429-3517,"P. O. BOX 179, 184 COUNTY ROAD 4984, FRED, TX 77616",P. O. BOX 179,FRED,TX,77616,TYLER,13140,Current,05/31/2027,DOUGLAS SAMPSON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14094293517,(409) 429-3517,landline_or_mobile,Texas,409,po_box_address,valid_with_flags
SOUTH TEXAS PLUMBING INC,(830) 569-2178,"1215 B ENCINO, PLEASANTON, TX 78064",1215 B ENCINO,PLEASANTON,TX,78064,ATASCOSA,7910,Current,04/30/2027,GEORGE ALLEN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18305692178,(830) 569-2178,landline_or_mobile,"Pleasanton, TX",830,,valid
MILLER PLUMBING SERVICES LLC,(512) 945-8538,"P.O. BOX 492, BUFFALO, TX 75831",P.O. BOX 492,BUFFALO,TX,75831,LEON,46692,Current,04/30/2027,JUSTIN MILLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15129458538,(512) 945-8538,landline_or_mobile,Texas,512,po_box_address,valid_with_flags
"P3 PLUMBING, LLC",(361) 258-1339,"2596 CR 396, GONZALES, TX 78629",2596 CR 396,GONZALES,TX,78629,GONZALES,44163,Current,04/30/2027,PAUL WAGNER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13612581339,(361) 258-1339,landline_or_mobile,Texas,361,,valid
BALLARD PLUMBING,(806) 935-7575,"124 W 8TH, DUMAS, TX 79029",124 W 8TH,DUMAS,TX,79029,MOORE,40343,Current,11/30/2026,BRADLEY BALLARD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18069357575,(806) 935-7575,landline_or_mobile,"Dumas, TX",806,,valid
DIAMOND H PLUMBING,(936) 305-1508,"PO BOX 614, MT ENTERPRISE, TX 75681",PO BOX 614,MT ENTERPRISE,TX,75681,RUSK,41995,Current,08/31/2026,DYER HOWARD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19363051508,(936) 305-1508,landline_or_mobile,Texas,936,po_box_address,valid_with_flags
WARE PLUMBING,(325) 436-9174,"123 PEACH ST., SNYDER, TX 79549",123 PEACH ST.,SNYDER,TX,79549,SCURRY,38285,Current,10/31/2026,EARL WARE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13254369174,(325) 436-9174,landline_or_mobile,Texas,325,,valid
T C PLUMBING,(432) 556-9412,"2401 NW MUSTANG DR., ANDREWS, TX 79714",2401 NW MUSTANG DR.,ANDREWS,TX,79714,ANDREWS,17900,Current,06/30/2026,THOMAS CARRASCO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14325569412,(432) 556-9412,landline_or_mobile,Texas,432,,valid
WEST TEXAS PLUMBING SOLUTIONS,(254) 477-4334,"3433 W WALKER ST, BRECKENRIDGE, TX 76424",3433 W WALKER ST,BRECKENRIDGE,TX,76424,STEPHENS,43127,Current,09/30/2026,JOSUE DURAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12544774334,(254) 477-4334,landline_or_mobile,Texas,254,,valid
NETWORK PLUMBING LLC,(325) 933-4269,"1306 ELM ST., SWEETWATER, TX 79556",1306 ELM ST.,SWEETWATER,TX,79556,NOLAN,36977,Current,09/30/2026,JAMES DAVIS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13259334269,(325) 933-4269,landline_or_mobile,Texas,325,,valid
LJ3 SERVICES,(940) 532-1440,"228 ELM ST, GRAHAM, TX 76450",228 ELM ST,GRAHAM,TX,76450,YOUNG,16903,Current,03/31/2027,JASON COTTONGAME,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19405321440,(940) 532-1440,landline_or_mobile,Texas,940,,valid
DL PLUMBING,(361) 522-3370,"1202 E. HUISACHE, KINGSVILLE, TX 78363",1202 E. HUISACHE,KINGSVILLE,TX,78363,KLEBERG,38014,Current,05/31/2027,DAVID LOPEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13615223370,(361) 522-3370,landline_or_mobile,Texas,361,,valid
DAVID WEIDO DBA PLUMBING,(979) 732-5195,"1412 MOCKINGBIRD BND, SEALY, TX 77474",1412 MOCKINGBIRD BND,SEALY,TX,77474,AUSTIN,17316,Current,10/31/2026,DAVID WEIDO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19797325195,(979) 732-5195,landline_or_mobile,"Columbus, TX",979,,valid
MOORE PLUMBING REPAIR LLC,(903) 389-1844,"177 FCR 111, FAIRFIELD, TX 75840",177 FCR 111,FAIRFIELD,TX,75840,FREESTONE,35796,Current,06/30/2026,BRIAN MOORE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19033891844,(903) 389-1844,landline_or_mobile,"Fairfield, TX",903,,valid
URBAN UTILITIES LLC,(214) 202-4666,"562 CR 2417, LEESBURG, TX 75451",562 CR 2417,LEESBURG,TX,75451,CAMP,40033,Current,09/30/2026,HARRY JACOBSEN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12142024666,(214) 202-4666,landline_or_mobile,Texas,214,,valid
COLLINS & SON'S PLUMBING,(254) 433-6120,"PO BOX 1205, CISCO, TX 76437",PO BOX 1205,CISCO,TX,76437,EASTLAND,43555,Current,07/31/2026,COREY COLLINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12544336120,(254) 433-6120,landline_or_mobile,Texas,254,po_box_address,valid_with_flags
JOSLIN CONSTRUCTION TEXAS LLC,(281) 354-5840,"1350 FM 3460, SHEPHERD, TX 77371",1350 FM 3460,SHEPHERD,TX,77371,SAN JACINTO,40836,Current,07/31/2027,CHAD JOSLIN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12813545840,(281) 354-5840,landline_or_mobile,"Porter, TX",281,,valid
BULLDOG CONTRACTORS LLC,(903) 665-2019,"509 KELLYVILLE ROAD #1, JEFFERSON, TX 75657",509 KELLYVILLE ROAD #1,JEFFERSON,TX,75657,MARION,36949,Current,08/31/2026,CARLTON KELLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19036652019,(903) 665-2019,landline_or_mobile,"Jefferson, TX",903,,valid
TAYLOR PLUMBING COMPANY,(936) 348-3800,"P. O. BOX 125, MADISONVILLE, TX 77864",P. O. BOX 125,MADISONVILLE,TX,77864,MADISON,12159,Current,11/30/2026,JOHN TAYLOR,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19363483800,(936) 348-3800,landline_or_mobile,"Madisonville, TX",936,po_box_address,valid_with_flags
TIMOTHY WOOTEN WATER CONDITIONING,(432) 488-8294,"PO BOX 1163, STANTON, TX 79782",PO BOX 1163,STANTON,TX,79782,MARTIN,16906,Current,09/30/2026,TIMOTHY WOOTEN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14324888294,(432) 488-8294,landline_or_mobile,Texas,432,po_box_address,valid_with_flags
WRIGHT CHOICE PLUMBING,(361) 243-6980,"1011 E MAIN, CUERO, TX 77954",1011 E MAIN,CUERO,TX,77954,DE WITT,20054,Current,07/31/2026,JAMIE WRIGHT,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13612436980,(361) 243-6980,landline_or_mobile,Texas,361,,valid
GUADALUPE GARCIA JR,(830) 325-4167,"P.O. BOX 2015, UVALDE, TX 78802",P.O. BOX 2015,UVALDE,TX,78802,UVALDE,39936,Current,09/30/2026,GUADALUPE GARCIA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18303254167,(830) 325-4167,landline_or_mobile,Texas,830,po_box_address,valid_with_flags
ROSE PLUMBING & SEPTIC SYSTEMS LLC,(806) 872-3502,"PO BOX 1204, LAMESA, TX 79331",PO BOX 1204,LAMESA,TX,79331,DAWSON,9437,Current,11/30/2026,BILLIE ROSE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18068723502,(806) 872-3502,landline_or_mobile,"Lamesa, TX",806,po_box_address,valid_with_flags
HARRIS PLUMBING HEAT & AIR,(432) 758-6129,"301 SW 23RD, SEMINOLE, TX 79360",301 SW 23RD,SEMINOLE,TX,79360,GAINES,15306,Current,07/31/2026,KENNITH HARRIS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14327586129,(432) 758-6129,landline_or_mobile,"Seminole, TX",432,,valid
SHOFFNER PLUMBING INC,(940) 937-2969,"701 AVENUE D SE, CHILDRESS, TX 79201",701 AVENUE D SE,CHILDRESS,TX,79201,CHILDRESS,22711,Current,04/30/2027,TERRY SHOFFNER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19409372969,(940) 937-2969,landline_or_mobile,"Childress, TX",940,,valid
DANIEL HINOJOSA DBA HINOJOSA PLUMBING,(830) 623-0586,"158  PR. 3294 CR 329, KENEDY, TX 78119",158  PR. 3294 CR 329,KENEDY,TX,78119,KARNES,37996,Current,09/30/2026,DANIEL HINOJOSA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18306230586,(830) 623-0586,landline_or_mobile,"New Braunfels, TX",830,,valid
ASHMORE PLUMBING,(254) 784-3662,"PO BOX 167, HAMILTON, TX 76531",PO BOX 167,HAMILTON,TX,76531,HAMILTON,41869,Current,04/30/2027,CODY ASHMORE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12547843662,(254) 784-3662,landline_or_mobile,Texas,254,po_box_address,valid_with_flags
CRAFT PLUMBING AND CONSTRUCTION LLC,(830) 554-0565,"PO BOX 872, BLANCO, TX 78606",PO BOX 872,BLANCO,TX,78606,BLANCO,42874,Current,03/31/2027,JOHN CRAFT,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18305540565,(830) 554-0565,landline_or_mobile,Texas,830,po_box_address,valid_with_flags
MARTINEZ PLUMBING & CONSTRUCTION,(940) 282-9532,"533  N 2ND STREET, JACKSBORO, TX 76458",533  N 2ND STREET,JACKSBORO,TX,76458,JACK,41145,Current,08/31/2026,DAMON MARTINEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19402829532,(940) 282-9532,landline_or_mobile,Texas,940,,valid
DBA: BOB'S PLUMBING,(806) 669-1940,"1105 GARLAND, PAMPA, TX 79065",1105 GARLAND,PAMPA,TX,79065,GRAY,39105,Current,09/30/2026,BOBBY FAIRES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18066691940,(806) 669-1940,landline_or_mobile,"Pampa, TX",806,,valid
BUSBY PLUMBING,(254) 562-2558,"2146 LCR 377, MEXIA, TX 76667",2146 LCR 377,MEXIA,TX,76667,LIMESTONE,36684,Current,04/30/2027,DANA BUSBY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12545622558,(254) 562-2558,landline_or_mobile,"Mexia, TX",254,,valid
ADVANTAGE PLUMBING CO,(806) 395-8270,"618 N. FLORIDA ST., BORGER, TX 79007",618 N. FLORIDA ST.,BORGER,TX,79007,HUTCHINSON,28874,Current,07/31/2027,WILLIAM CLINE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18063958270,(806) 395-8270,landline_or_mobile,Texas,806,,valid
PLUMB KRAZY PLUMBING,(936) 591-0190,"P. O. BOX 1422, CENTER, TX 75935",P. O. BOX 1422,CENTER,TX,75935,SHELBY,36166,Current,02/28/2027,DENNIS LIKER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19365910190,(936) 591-0190,landline_or_mobile,"Center, TX",936,po_box_address,valid_with_flags
BARTON PLUMBING,(806) 323-2444,"PO BOX 697, CANADIAN, TX 79014",PO BOX 697,CANADIAN,TX,79014,HEMPHILL,13768,Current,08/31/2026,PRICE BARTON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18063232444,(806) 323-2444,landline_or_mobile,"Canadian, TX",806,po_box_address,valid_with_flags
KOTLAR PLUMBING CO INC,(361) 782-3536,"203 SOUTH EAST ST, EDNA, TX 77957",203 SOUTH EAST ST,EDNA,TX,77957,JACKSON,18271,Current,09/30/2026,LARRY KOTLAR,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13617823536,(361) 782-3536,landline_or_mobile,"Edna, TX",361,,valid
4 J'S PLUMBING,(936) 203-6135,"1271 PR 3225 PO BOX 190, MARQUEZ, TX 77856",1271 PR 3225 PO BOX 190,MARQUEZ,TX,77856,ROBERTSON,17634,Current,03/31/2027,JAMES KOENIG,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19362036135,(936) 203-6135,landline_or_mobile,Texas,936,po_box_address,valid_with_flags
HAAK PLUMBING,(254) 883-0298,"1469 STATE HWY 7, CHILTON, TX 76632",1469 STATE HWY 7,CHILTON,TX,76632,FALLS,36857,Current,08/31/2026,JEREMY HAAK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12548830298,(254) 883-0298,landline_or_mobile,"Marlin, TX",254,,valid
PHELPS PLBG HTG & AC,(806) 662-7126,"304 SAILFISH, HOWARDWICK, TX 79226",304 SAILFISH,HOWARDWICK,TX,79226,DONLEY,12746,Current,04/30/2027,JOHN PHELPS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18066627126,(806) 662-7126,landline_or_mobile,Texas,806,,valid
C & S PLUMBING SERVICES INC,(830) 279-4766,"200 CAMINO CORTO, LEAKEY, TX 78873",200 CAMINO CORTO,LEAKEY,TX,78873,REAL,43051,Current,03/31/2027,DAVID CHRISTIAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18302794766,(830) 279-4766,landline_or_mobile,Texas,830,,valid
SHIPLET PLUMBING,(940) 553-1397,"1710 STEPHENS ST, VERNON, TX 76384-8052",1710 STEPHENS ST,VERNON,TX,76384-8052,WILBARGER,18482,Current,07/31/2026,CHARLES SHIPLET,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19405531397,(940) 553-1397,landline_or_mobile,"Vernon, TX",940,,valid
