company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date,phone_valid,phone_e164,phone_national,phone_line_type,phone_region,phone_area_code,phone_flags,phone_validation_status,google_name,google_address,google_phone,google_website,google_maps_url,crossref_status,crossref_confidence,crossref_notes,recommended_phone,recommended_address,phone_match,city_match,address_match
AM PM PLUMBING,(956) 425-0006,"28491 RANGERVILLE RD, HARLINGEN, TX 78552",28491 RANGERVILLE RD,HARLINGEN,TX,78552,CAMERON,38483,Current,05/31/2027,CLEMENTE QUINTANILLA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19564250006,(956) 425-0006,landline_or_mobile,"Harlingen, TX",956,,valid,AM PM Plumbing,"29930 Hunter Rd Ste #103, Murrieta, CA 92563",(951) 553-3882,http://www.ampmplumbingopen.com/,https://maps.google.com/?cid=153949127539420813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (956) 425-0006 vs Google (951) 553-3882; Address differs; prefer Google street address; Google website: http://www.ampmplumbingopen.com/; Manual review recommended,(951) 553-3882,"29930 Hunter Rd Ste #103, Murrieta, CA 92563",no,no,no
SHREINER HOME COMFORT LLC DBA 1800 PLMBR OF THE TX PANHANDLE,(806) 622-3862,"513  ROSS, AMARILLO, TX 79102",513  ROSS,AMARILLO,TX,79102,POTTER,38075,Current,03/31/2027,JASEN SHREINER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18066223862,(806) 622-3862,landline_or_mobile,"Amarillo, TX",806,,valid,1-800-Plumber +Air & Electric,"513 Ross St, Amarillo, TX 79102",(806) 622-3862,https://1800plumber.com/amarillo-tx,https://maps.google.com/?cid=2026478597165769171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: https://1800plumber.com/amarillo-tx,(806) 622-3862,"513  ROSS, AMARILLO, TX 79102",yes,yes,yes
ARGYLE MECHANICAL SERVICES DBA SERVICEPROZ,(903) 237-8281,"PO BOX 608, GLADEWATER, TX 75647",PO BOX 608,GLADEWATER,TX,75647,GREGG,39069,Current,02/28/2027,NATHAN WHITE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19032378281,(903) 237-8281,landline_or_mobile,"Longview, TX",903,po_box_address,valid_with_flags,ServiceProz,"748 W Wilkins Rd, Gladewater, TX 75647",(903) 212-7769,https://www.serviceproztexas.com/,https://maps.google.com/?cid=4526187925666714&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (903) 237-8281 vs Google (903) 212-7769; TSBPE PO box; prefer Google street address; Google website: https://www.serviceproztexas.com/,(903) 212-7769,"748 W Wilkins Rd, Gladewater, TX 75647",no,yes,no
SAN TEX PLUMBING,(817) 770-6711,"168 HAPPY TRAIL, RHOME, TX 76078",168 HAPPY TRAIL,RHOME,TX,76078,WISE,37217,Current,03/31/2027,TONY ATKINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18177706711,(817) 770-6711,landline_or_mobile,Texas,817,,valid,San-Tex Plumbing,"2275 Schuwirth Rd, Converse, TX 78109",(210) 667-1023,http://www.santexplumbing.com/contact.html,https://maps.google.com/?cid=13908183236036466697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (817) 770-6711 vs Google (210) 667-1023; Address differs; prefer Google street address; Google website: http://www.santexplumbing.com/contact.html; Manual review recommended,(210) 667-1023,"2275 Schuwirth Rd, Converse, TX 78109",no,no,no
JAY HARKINS CO DBA HARKINS CO,(512) 281-5577,"618  HWY 95 N, ELGIN, TX 78621",618  HWY 95 N,ELGIN,TX,78621,BASTROP,39024,Current,07/31/2026,JOHN HARKINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15122815577,(512) 281-5577,landline_or_mobile,"Elgin, TX",512,,valid,Thomas Harkins Plumbing & Heating,"9 N 7th St, Hudson, NY 12534",(518) 828-1433,https://www.thomasharkinsplumbing.com/,https://maps.google.com/?cid=4754804634934016337&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (512) 281-5577 vs Google (518) 828-1433; Address differs; prefer Google street address; Google website: https://www.thomasharkinsplumbing.com/; Manual review recommended,(518) 828-1433,"9 N 7th St, Hudson, NY 12534",no,no,no
SUPERIOR PLUMBING INC,(432) 550-0123,"P.O.BOX 12183, ODESSA, TX 79768",P.O.BOX 12183,ODESSA,TX,79768,ECTOR,37455,Current,07/31/2027,BILLY GREATHOUSE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14325500123,(432) 550-0123,landline_or_mobile,"Odessa, TX",432,po_box_address,valid_with_flags,"Superior Plumbing, Inc.","356 University Ave, Westwood, MA 02090",,,https://maps.google.com/?cid=6658507028700821157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Google listing has no phone; keeping TSBPE phone; TSBPE PO box; prefer Google street address; Manual review recommended,(432) 550-0123,"356 University Ave, Westwood, MA 02090",no,no,no
AGGIES PLUMBING,(409) 960-2543,"2518  GLENWOOD DR., PORT ARTHUR, TX 77642",2518  GLENWOOD DR.,PORT ARTHUR,TX,77642,JEFFERSON,38865,Current,02/28/2027,AGUSTIN IZAGUIRRE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14099602543,(409) 960-2543,landline_or_mobile,Texas,409,,valid,Aggie Plumbing & Service,"309 S Summit View Dr UNIT 12, Fort Collins, CO 80524",(970) 226-9979,http://www.aggieplumbing.com/,https://maps.google.com/?cid=14231441398285083017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (409) 960-2543 vs Google (970) 226-9979; Address differs; prefer Google street address; Google website: http://www.aggieplumbing.com/; Manual review recommended,(970) 226-9979,"309 S Summit View Dr UNIT 12, Fort Collins, CO 80524",no,no,no
QUALITY PLUMBING & SERVICE INC,(956) 725-2335,"2604 FREMONT ST., LAREDO, TX 78043",2604 FREMONT ST.,LAREDO,TX,78043,WEBB,37266,Current,02/28/2027,MANUEL SANTOS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19567252335,(956) 725-2335,landline_or_mobile,"Laredo, TX",956,,valid,Quality plumbing company,"10350 Stone Ct, Mentone, CA 92359",(909) 212-4319,,https://maps.google.com/?cid=14612169237001742301&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (956) 725-2335 vs Google (909) 212-4319; Address differs; prefer Google street address; Manual review recommended,(909) 212-4319,"10350 Stone Ct, Mentone, CA 92359",no,no,no
SIERRA PLUMBING,(325) 655-6747,"704 EAST 16TH STREET, SAN ANGELO,TEXAS, SAN ANGELO, TX 76903",704 EAST 16TH STREET,SAN ANGELO,TX,76903,TOM GREEN,20679,Current,02/28/2027,WILLIE FLORES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13256556747,(325) 655-6747,landline_or_mobile,"San Angelo, TX",325,,valid,Sierra Plumbing & Drain Cleaning,"2479 Alder St, Pomona, CA 91767",(909) 868-8396,http://www.sierraplumbingpro.com/,https://maps.google.com/?cid=13986134560345176073&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (325) 655-6747 vs Google (909) 868-8396; Address differs; prefer Google street address; Google website: http://www.sierraplumbingpro.com/; Manual review recommended,(909) 868-8396,"2479 Alder St, Pomona, CA 91767",no,no,no
4T CONSTRUCTION,(512) 748-9250,"100 CR 200D, BURNET, TX 78611",100 CR 200D,BURNET,TX,78611,BURNET,37286,Current,02/28/2027,FREDDY PARK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15127489250,(512) 748-9250,landline_or_mobile,Texas,512,,valid,"4T Construction, Inc.","2513 132nd J Ave NW, Arnegard, ND 58835",(701) 690-9797,,https://maps.google.com/?cid=18387288943348142898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (512) 748-9250 vs Google (701) 690-9797; Address differs; prefer Google street address; Manual review recommended,(701) 690-9797,"2513 132nd J Ave NW, Arnegard, ND 58835",no,no,no
J H PLUMBING LLC,(210) 274-6497,"106 RUSTY LANE, BOERNE, TX 78006",106 RUSTY LANE,BOERNE,TX,78006,KENDALL,39412,Current,04/30/2027,JAMES HOEVER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12102746497,(210) 274-6497,landline_or_mobile,"San Antonio, TX",210,,valid,JH Plumbing,"106 Rusty Ln, Boerne, TX 78006",(210) 274-6497,,https://maps.google.com/?cid=4146878297791869792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google,(210) 274-6497,"106 RUSTY LANE, BOERNE, TX 78006",yes,yes,yes
R & S PLUMBING,(903) 873-4673,"899 VZCR 3406, WILLS POINT, TX 75169",899 VZCR 3406,WILLS POINT,TX,75169,VAN ZANDT,20554,Current,07/31/2026,GREGORY SMITH,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19038734673,(903) 873-4673,landline_or_mobile,"Wills Point, TX",903,,valid,"RS Plumbing Solutions, Inc.","1936 E Gladwick St, Rancho Dominguez, CA 90220",(866) 509-7187,http://www.rspsol.com/,https://maps.google.com/?cid=13783877447308282687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (903) 873-4673 vs Google (866) 509-7187; Address differs; prefer Google street address; Google website: http://www.rspsol.com/; Manual review recommended,(866) 509-7187,"1936 E Gladwick St, Rancho Dominguez, CA 90220",no,no,no
EAST TEXAS PLUMBING CO,(903) 675-9319,"P O BOX 2082, ATHENS, TX 75751",P O BOX 2082,ATHENS,TX,75751,HENDERSON,36970,Current,09/30/2026,DERRELL STRANGE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19036759319,(903) 675-9319,landline_or_mobile,"Athens, TX",903,po_box_address,valid_with_flags,East Texas Plumbing,"5228 Shakespeare Rd, Kountze, TX 77625",(409) 832-4154,,https://maps.google.com/?cid=5343428176083735286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (903) 675-9319 vs Google (409) 832-4154; TSBPE PO box; prefer Google street address; Manual review recommended,(409) 832-4154,"5228 Shakespeare Rd, Kountze, TX 77625",no,no,no
VCSV LLC DBA VIC'S PLUMBING,(361) 676-2935,"4303 N VINE ST., VICTORIA, TX 77901",4303 N VINE ST.,VICTORIA,TX,77901,VICTORIA,38597,Current,11/30/2026,VICTOR NUNEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13616762935,(361) 676-2935,landline_or_mobile,Texas,361,,valid,"Vic's Plumbing Supply, Inc.","1864 Goodyear Ave, Ventura, CA 93003",(805) 643-4565,http://www.vicssupply.com/,https://maps.google.com/?cid=10183584241187831339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (361) 676-2935 vs Google (805) 643-4565; Address differs; prefer Google street address; Google website: http://www.vicssupply.com/; Manual review recommended,(805) 643-4565,"1864 Goodyear Ave, Ventura, CA 93003",no,no,no
SA'S BEST PLUMBING,(210) 421-7756,"161 COUNTY ROAD 277, MICO, TX 78056",161 COUNTY ROAD 277,MICO,TX,78056,MEDINA,36967,Current,11/30/2026,RUSSELL GARDINER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12104217756,(210) 421-7756,landline_or_mobile,"San Antonio, TX",210,,valid,Best Service Plumber,"2445 Railroad St Unit #A, Corona, CA 92878",(951) 520-8557,http://www.bestserviceplumber.com/,https://maps.google.com/?cid=4593956903857750472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (210) 421-7756 vs Google (951) 520-8557; Address differs; prefer Google street address; Google website: http://www.bestserviceplumber.com/; Manual review recommended,(951) 520-8557,"2445 Railroad St Unit #A, Corona, CA 92878",no,no,no
7M PLUMBING LLC,(325) 725-4105,"P O BOX 4059, ABILENE, TX 79608",P O BOX 4059,ABILENE,TX,79608,TAYLOR,40425,Current,02/28/2027,MICHAEL MILLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13257254105,(325) 725-4105,landline_or_mobile,Texas,325,po_box_address,valid_with_flags,,,,,https://www.google.com/maps/search/?api=1&query=7M+PLUMBING+LLC+P+O+BOX+4059+TX,no_google_listing,low,Google Places: no matching listing found,(325) 725-4105,"P O BOX 4059, ABILENE, TX 79608",,,
RAD PLUMBING LLC,(940) 600-7496,"2136 COUNTY RD 4101, NEW BOSTON, TX 75570",2136 COUNTY RD 4101,NEW BOSTON,TX,75570,BOWIE,38778,Current,07/31/2027,RODNEY DEAL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19406007496,(940) 600-7496,landline_or_mobile,Texas,940,,valid,Rad Plumbing LLC,"2120 North St, Pollock, LA 71467",(318) 664-7633,http://www.radplumbers.com/,https://maps.google.com/?cid=5503711398518957741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (940) 600-7496 vs Google (318) 664-7633; Address differs; prefer Google street address; Google website: http://www.radplumbers.com/; Manual review recommended,(318) 664-7633,"2120 North St, Pollock, LA 71467",no,no,no
ESPERANZA VENTURES CORP DBA HOLLOWAY PLUMBING,(830) 377-9001,"421 SCHREINER ST, C/O HOLLOWAY PLUMBING, KERRVILLE, TX 78028",421 SCHREINER ST,KERRVILLE,TX,78028,KERR,42237,Current,11/30/2026,DAMON LEWIS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18303779001,(830) 377-9001,landline_or_mobile,Texas,830,,valid,Holloway Plumbing,"421 Schreiner St, Kerrville, TX 78028",(833) 699-6205,https://www.hollowayplumbing.net/?utm_source=organic&utm_medium=gbp_listing,https://maps.google.com/?cid=8335758045829045261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (830) 377-9001 vs Google (833) 699-6205; Address matches TSBPE and Google; Google website: https://www.hollowayplumbing.net/?utm_source=organic&utm_medium=gbp_listing,(833) 699-6205,"421 SCHREINER ST, C/O HOLLOWAY PLUMBING, KERRVILLE, TX 78028",no,yes,yes
DOUBLE L PLUMBING,(817) 279-9303,"315 SMART STRIKE CT, GRANBURY, TX 76049",315 SMART STRIKE CT,GRANBURY,TX,76049,HOOD,39534,Current,10/31/2026,CHRISTOPHER LESTER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18172799303,(817) 279-9303,landline_or_mobile,"Granbury, TX",817,,valid,Double L Plumbing,"708 NW Pkwy St, Azle, TX 76020",(817) 444-3100,https://doublelplumbingservice.com/?utm_source=gmba&utm_medium=organic,https://maps.google.com/?cid=17157466669189513896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (817) 279-9303 vs Google (817) 444-3100; Address differs; prefer Google street address; Google website: https://doublelplumbingservice.com/?utm_source=gmba&utm_medium=organic; Manual review recommended,(817) 444-3100,"708 NW Pkwy St, Azle, TX 76020",no,no,no
ROUP PLUMBING LLC,(469) 826-3315,"11602 REEDER ROAD, DALLAS, TX 75229",11602 REEDER ROAD,DALLAS,TX,75229,,45970,Current,08/31/2026,SHAUN ROUP,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14698263315,(469) 826-3315,landline_or_mobile,Texas,469,,valid,"Don Richey Plumbing, LLC dba P & R Plumbing M36896","120 E Grubb Dr, Mesquite, TX 75149",(972) 285-3967,https://www.prplumbingtx.com/,https://maps.google.com/?cid=2529683785041489731&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (469) 826-3315 vs Google (972) 285-3967; Address differs; prefer Google street address; Google website: https://www.prplumbingtx.com/; Manual review recommended,(972) 285-3967,"120 E Grubb Dr, Mesquite, TX 75149",no,no,no
MIKE CAMPOS PLUMBING SERVICES,(210) 421-7362,"504 BLARNEY RD, FLORESVILLE, TX 78114-6590",504 BLARNEY RD,FLORESVILLE,TX,78114-6590,WILSON,39224,Current,10/31/2026,MIGUEL CAMPOS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12104217362,(210) 421-7362,landline_or_mobile,"San Antonio, TX",210,,valid,,,,,https://www.google.com/maps/search/?api=1&query=MIKE+CAMPOS+PLUMBING+SERVICES+504+BLARNEY+RD+TX,no_google_listing,low,Google Places: no matching listing found,(210) 421-7362,"504 BLARNEY RD, FLORESVILLE, TX 78114-6590",,,
RONS PLUMBING LLC,(903) 438-6328,"P. O. BOX 248, SULPHUR SPRINGS, TX 75483",P. O. BOX 248,SULPHUR SPRINGS,TX,75483,HOPKINS,20658,Current,10/31/2026,RONALD SIMMONS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19034386328,(903) 438-6328,landline_or_mobile,"Sulphur Springs, TX",903,po_box_address,valid_with_flags,,,,,https://www.google.com/maps/search/?api=1&query=RONS+PLUMBING+LLC+P.+O.+BOX+248+TX,no_google_listing,low,Google Places: no matching listing found,(903) 438-6328,"P. O. BOX 248, SULPHUR SPRINGS, TX 75483",,,
BYNARD MALONE PLUMBING LLC,(903) 739-8580,"155 32ND STREET NE, PARIS, TX 75460",155 32ND STREET NE,PARIS,TX,75460,LAMAR,36999,Current,08/31/2026,BYNARD MALONE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19037398580,(903) 739-8580,landline_or_mobile,"Paris, TX",903,,valid,Malone Plumbing,"155 32nd St NE, Paris, TX 75460",,,https://maps.google.com/?cid=8766409438965483348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Google listing has no phone; keeping TSBPE phone; Address matches TSBPE and Google; Manual review recommended,(903) 739-8580,"155 32ND STREET NE, PARIS, TX 75460",no,yes,yes
TASK COMMERCIAL PLUMBING,(281) 682-8953,"P O BOX 81, SHIRO, TX 77876",P O BOX 81,SHIRO,TX,77876,GRIMES,21118,Current,04/30/2027,DANIEL MCELROY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12816828953,(281) 682-8953,landline_or_mobile,Texas,281,po_box_address,valid_with_flags,,,,,https://www.google.com/maps/search/?api=1&query=TASK+COMMERCIAL+PLUMBING+P+O+BOX+81+TX,no_google_listing,low,Google Places: no matching listing found,(281) 682-8953,"P O BOX 81, SHIRO, TX 77876",,,
AMERICAN CLASSIC PLUMBING INC,(806) 702-0701,"PO BOX 449, KINGSLAND, TX 78639",PO BOX 449,KINGSLAND,TX,78639,LLANO,43607,Current,02/28/2027,MICHAEL DAVIS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18067020701,(806) 702-0701,landline_or_mobile,Texas,806,po_box_address,valid_with_flags,American Classic Plumbing,"29793 Via Las Chacras, Temecula, CA 92591",(951) 676-2410,,https://maps.google.com/?cid=7469827578962843067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (806) 702-0701 vs Google (951) 676-2410; TSBPE PO box; prefer Google street address; Manual review recommended,(951) 676-2410,"29793 Via Las Chacras, Temecula, CA 92591",no,no,no
FREE FLOW PLUMBING LLC,(936) 232-0433,"5010 FM 2693 RD W, NEW WAVERLY, TX 77358",5010 FM 2693 RD W,NEW WAVERLY,TX,77358,WALKER,40062,Current,06/30/2026,MICHAEL MACALUSO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19362320433,(936) 232-0433,landline_or_mobile,Texas,936,,valid,Free Flow Plumbing LLC,"1017 Sandy Ridge Rd, Prattville, AL 36067",(334) 659-7122,,https://maps.google.com/?cid=9506049464629763834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (936) 232-0433 vs Google (334) 659-7122; Address differs; prefer Google street address; Manual review recommended,(334) 659-7122,"1017 Sandy Ridge Rd, Prattville, AL 36067",no,no,no
BAR-B PLUMBING CO INC,(254) 547-2493,"PO BOX 129, KEMPNER, TX 76539",PO BOX 129,KEMPNER,TX,76539,LAMPASAS,18915,Current,02/28/2027,EDWARD BARBEE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12545472493,(254) 547-2493,landline_or_mobile,"Copperas Cove, TX",254,po_box_address,valid_with_flags,Bar B Plumbing Co,"3330 Lois Ln, Kempner, TX 76539",(254) 547-2493,,https://maps.google.com/?cid=2041022636812706927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; TSBPE PO box; prefer Google street address,(254) 547-2493,"3330 Lois Ln, Kempner, TX 76539",yes,yes,no
EAST TEXAS LRL ENTERPRISES INC DBA LOGGINS PLUMBING,(936) 639-3073,"101 INDUSTRIAL BLVD, SUITE 109, LUFKIN, TX 75904",101 INDUSTRIAL BLVD,LUFKIN,TX,75904,ANGELINA,14413,Current,08/31/2026,LEONARD LOGGINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19366393073,(936) 639-3073,landline_or_mobile,"Lufkin, TX",936,,valid,Loggins Plumbing,"101 Industrial Blvd, Lufkin, TX 75904",(936) 639-3073,https://www.logginsplumbingservice.com/,https://maps.google.com/?cid=8899469796158376472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: https://www.logginsplumbingservice.com/,(936) 639-3073,"101 INDUSTRIAL BLVD, SUITE 109, LUFKIN, TX 75904",yes,yes,yes
"ROBERT RUSSELL PLUMBING, INC.",(940) 759-4155,"P. O. BOX 394, MUENSTER, TX 76252",P. O. BOX 394,MUENSTER,TX,76252,COOKE,8728,Current,05/31/2027,ROBERT RUSSELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19407594155,(940) 759-4155,landline_or_mobile,"Muenster, TX",940,po_box_address,valid_with_flags,Robert Russell Plumbing,"3814 Co Rd 302, Muenster, TX 76252",(940) 759-4155,,https://maps.google.com/?cid=9790639343170576097&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; TSBPE PO box; prefer Google street address,(940) 759-4155,"3814 Co Rd 302, Muenster, TX 76252",yes,yes,no
INNERLINE PLUMBING,(817) 851-6826,"PO BOX 132, RICHLAND, TX 76681",PO BOX 132,RICHLAND,TX,76681,NAVARRO,17632,Current,02/28/2027,RICHARD WOOLHEATER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18178516826,(817) 851-6826,landline_or_mobile,Texas,817,po_box_address,valid_with_flags,,,,,https://www.google.com/maps/search/?api=1&query=INNERLINE+PLUMBING+PO+BOX+132+TX,no_google_listing,low,Google Places: no matching listing found,(817) 851-6826,"PO BOX 132, RICHLAND, TX 76681",,,
MEYER PLUMBING & CONSTRUCTION LLC,(979) 277-5908,"7679 WOLFF ROAD, BURTON, TX 77835",7679 WOLFF ROAD,BURTON,TX,77835,WASHINGTON,15104,Current,02/28/2027,BOBBY MEYER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19792775908,(979) 277-5908,landline_or_mobile,"Brenham, TX",979,,valid,Meyer Plumbing & Construction,"7679 Wolff Rd, Burton, TX 77835",(979) 836-3963,,https://maps.google.com/?cid=6765922362391745261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (979) 277-5908 vs Google (979) 836-3963; Address matches TSBPE and Google,(979) 836-3963,"7679 WOLFF ROAD, BURTON, TX 77835",no,yes,yes
NORTH TEXAS PRECISE PLUMBING LLC,(972) 762-7347,"542  PRIVATE ROAD 76, LEONARD, TX 75452",542  PRIVATE ROAD 76,LEONARD,TX,75452,FANNIN,39976,Current,11/30/2026,JOHN COOK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19727627347,(972) 762-7347,landline_or_mobile,Texas,972,,valid,Precise Plumbing & Irrigation,"3905 W US Hwy 190 Service Rd, Belton, TX 76513",(254) 913-3634,,https://maps.google.com/?cid=16370987733115292473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (972) 762-7347 vs Google (254) 913-3634; Address differs; prefer Google street address; Manual review recommended,(254) 913-3634,"3905 W US Hwy 190 Service Rd, Belton, TX 76513",no,no,no
GREENWAVE PLUMBING INC,(512) 750-1808,"2233 BORCHERT LOOP, LOCKHART, TX 78644",2233 BORCHERT LOOP,LOCKHART,TX,78644,CALDWELL,21542,Current,06/30/2026,MICHAEL THIGPEN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15127501808,(512) 750-1808,landline_or_mobile,Texas,512,,valid,,,,,https://www.google.com/maps/search/?api=1&query=GREENWAVE+PLUMBING+INC+2233+BORCHERT+LOOP+TX,no_google_listing,low,Google Places: no matching listing found,(512) 750-1808,"2233 BORCHERT LOOP, LOCKHART, TX 78644",,,
